image_path,Dry_Clover_g,Dry_Dead_g,Dry_Green_g,Dry_Total_g,GDM_g
train/ID896386823.jpg,2.0794,19.7543,12.9541,34.7878,15.0335
train/ID397994621.jpg,0.0,0.0,81.0,81.0,81.0
train/ID1036339023.jpg,23.0755,2.6135,32.191,57.88,55.2665
train/ID344618040.jpg,0.0,6.7327,14.9081,21.6408,14.9081
train/ID1385921939.jpg,0.0,6.8243,43.6757,50.5,43.6757
train/ID1343327476.jpg,3.1429,3.1429,37.7143,44.0,40.8571
train/ID1982662138.jpg,0.0,1.1594,35.9406,37.1,35.9406
train/ID415656958.jpg,1.0707,11.2424,4.8182,17.1313,5.8889
train/ID1183807388.jpg,0.0,20.9156,20.9156,41.8312,20.9156
train/ID1784585001.jpg,35.0394,12.3111,3.788,51.1386,38.8275
train/ID871463897.jpg,10.0981,19.3547,59.7472,89.2,69.8453
train/ID668475812.jpg,0.0,52.9301,34.0699,87.0,34.0699
train/ID600602588.jpg,2.1111,2.1111,33.7778,38.0,35.8889
train/ID1127246618.jpg,3.0196,25.8824,32.3529,61.2549,35.3725
train/ID1437386574.jpg,5.0001,3.7122,44.1677,52.88,49.1678
train/ID1421714468.jpg,0.0,36.581,26.6001,63.1811,26.6
train/ID94564238.jpg,3.9923,3.9923,9.3154,17.3,13.3077
train/ID1859792585.jpg,0.7708,30.83,22.6087,54.2095,23.3794
train/ID8209776.jpg,9.9586,14.108,12.0333,36.1,21.992
train/ID325799913.jpg,2.797,19.2502,11.3527,33.4,14.1498
train/ID1954669045.jpg,6.859,10.469,18.772,36.1,25.631
train/ID808093827.jpg,19.6769,6.4251,25.2988,51.4008,44.9757
train/ID748979397.jpg,43.2687,18.1125,0.0,61.3813,43.2687
train/ID1645161155.jpg,0.0,40.6841,19.0515,59.7356,19.0516
train/ID755710743.jpg,2.1841,8.2099,8.4829,18.877,10.667
train/ID1477176296.jpg,1.8308,1.8308,20.1385,23.8,21.9692
train/ID1244346858.jpg,0.0,30.9343,49.2657,80.2,49.2657
train/ID423506847.jpg,0.9821,10.8036,43.2143,55.0,44.1964
train/ID1403078396.jpg,5.3,8.3,1.5,15.1,6.8
train/ID1980675327.jpg,2.6598,9.0024,14.7312,26.3934,17.391
train/ID629980789.jpg,1.6069,8.0345,36.9586,46.6,38.5655
train/ID1450399782.jpg,0.1901,19.082,38.202,57.4741,38.3921
train/ID1782608354.jpg,0.07,0.0,72.1,72.17,72.17
train/ID1012260530.jpg,0.0,0.0,7.6,7.6,7.6
train/ID684062938.jpg,0.0,33.5863,73.0137,106.6,73.0137
train/ID1314135397.jpg,0.0,16.6678,28.0322,44.7,28.0322
train/ID48303557.jpg,0.0,13.2399,60.0887,73.3286,60.0887
train/ID1970522802.jpg,0.0,13.5089,32.8911,46.4,32.8911
train/ID12390962.jpg,0.0,15.2,14.0,29.2,14.0
train/ID566966892.jpg,0.9714,3.8857,15.5429,20.4,16.5143
train/ID1211362607.jpg,0.0,1.3446,66.5554,67.9,66.5554
train/ID146920896.jpg,0.5,0.4,6.6,7.5,7.1
train/ID1386202352.jpg,0.0,12.1549,35.0834,47.2383,35.0834
train/ID294150104.jpg,13.9876,3.167,20.5855,37.74,34.573
train/ID983582017.jpg,0.0,0.0,40.94,40.94,40.94
train/ID980878870.jpg,32.3575,0.0,2.0325,34.39,34.39
train/ID1693880739.jpg,0.0,4.7385,30.4615,35.2,30.4615
train/ID72895391.jpg,1.9867,3.9733,8.94,14.9,10.9267
train/ID1070112260.jpg,0.0,9.8765,22.1235,32.0,22.1235
train/ID1559189397.jpg,0.0,1.0805,22.4195,23.5,22.4195
train/ID290369222.jpg,0.0,11.4741,40.8478,52.3219,40.8478
train/ID670276799.jpg,0.0,23.1943,21.9057,45.1,21.9057
train/ID162394992.jpg,0.0,1.8459,47.2541,49.1,47.2541
train/ID617132135.jpg,0.8,4.7,11.1,16.6,11.9
train/ID1217108125.jpg,5.9027,8.0594,0.6811,14.6432,6.5838
train/ID21377800.jpg,0.48,28.3224,9.1208,37.9232,9.6008
train/ID1139918758.jpg,58.34,0.0,0.0,58.34,58.34
train/ID50027657.jpg,7.2429,3.6214,39.8357,50.7,47.0786
train/ID587125778.jpg,4.0911,25.3648,1.6364,31.0923,5.7275
train/ID249042826.jpg,10.6616,3.8769,1.8,16.3385,12.4615
train/ID1052620238.jpg,0.0,11.2291,20.1707,31.3998,20.1707
train/ID1590632667.jpg,3.1807,24.2887,31.2284,58.6978,34.4091
train/ID1159071020.jpg,1.3191,6.7982,46.5727,54.69,47.8918
train/ID1761544403.jpg,32.64,0.0,0.0,32.64,32.64
train/ID1753847361.jpg,34.9938,3.5437,51.2725,89.81,86.2663
train/ID105271783.jpg,5.2698,8.5635,27.6667,41.5,32.9365
train/ID950496197.jpg,17.743,3.2487,2.499,23.4907,20.242
train/ID2099742797.jpg,4.14,1.38,15.18,20.7,19.32
train/ID1874904894.jpg,0.0,29.1542,4.1458,33.3,4.1458
train/ID1131079710.jpg,15.4794,11.119,1.5261,28.1246,17.0055
train/ID1680597197.jpg,0.0,8.6171,84.1829,92.8,84.1829
train/ID1108283583.jpg,5.773,7.2162,40.4108,53.4,46.1838
train/ID1839139621.jpg,0.0,10.3894,31.5263,41.9157,31.5264
train/ID905397692.jpg,30.9177,6.1407,36.2016,73.26,67.1193
train/ID1498398599.jpg,11.0375,5.6471,1.2834,17.9681,12.321
train/ID746335827.jpg,0.0,53.2603,112.8397,166.1,112.8397
train/ID1618597318.jpg,1.1195,2.239,33.0259,36.3845,34.1454
train/ID679913293.jpg,0.2146,14.3782,6.6526,21.2454,6.8672
train/ID1952813879.jpg,0.5875,8.225,3.525,12.3375,4.1125
train/ID1665142816.jpg,3.7714,4.7143,24.5143,33.0,28.2857
train/ID1781353117.jpg,1.7583,11.0291,15.185,27.9724,16.9433
train/ID142751858.jpg,15.3953,2.417,33.2077,51.02,48.603
train/ID534966093.jpg,7.6364,7.6364,26.7273,42.0,34.3636
train/ID2010625680.jpg,37.5911,0.0,5.0589,42.65,42.65
train/ID968643034.jpg,1.5,7.6,9.0,18.1,10.5
train/ID681680726.jpg,45.85,0.0,0.0,45.85,45.85
train/ID488873801.jpg,0.7552,8.3076,22.9088,31.9716,23.664
train/ID1415329644.jpg,0.0,0.0,63.3,63.3,63.3
train/ID1413758094.jpg,0.8746,46.0532,17.5601,64.4879,18.4347
train/ID1570190541.jpg,16.6157,7.8376,0.1568,24.61,16.7724
train/ID147528735.jpg,0.0,3.0,53.5,56.5,53.5
train/ID353997899.jpg,9.5934,35.7574,7.8492,53.2,17.4426
train/ID2003438517.jpg,5.2,2.08,13.52,20.8,18.72
train/ID1098771283.jpg,8.376,15.1673,0.4528,23.9961,8.8287
train/ID1208644039.jpg,1.55,7.75,31.0,40.3,32.55
train/ID885388135.jpg,1.4353,4.3059,18.6588,24.4,20.0941
train/ID1857489997.jpg,2.3478,2.3478,13.3043,18.0,15.6522
train/ID6269659.jpg,35.9533,16.3424,2.3346,54.6304,38.2879
train/ID1078930021.jpg,0.0,5.0189,32.9811,38.0,32.9811
train/ID1953171547.jpg,0.692,58.7479,15.989,75.4289,16.681
train/ID779628955.jpg,47.32,0.0,0.0,47.32,47.32
train/ID1444674500.jpg,11.64,0.0,3.5,15.14,15.14
train/ID1357768767.jpg,0.0,5.4497,104.1503,109.6,104.1503
train/ID572336285.jpg,22.5242,26.1571,18.8913,67.5726,41.4155
train/ID490139972.jpg,0.0,9.9537,35.9864,45.9401,35.9864
train/ID750820644.jpg,0.0,38.9588,28.2559,67.2147,28.2558
train/ID751517087.jpg,16.73,11.95,43.02,71.7,59.75
train/ID1428837636.jpg,10.1663,19.1366,3.8871,33.1901,14.0535
train/ID1488408526.jpg,0.0,9.8969,28.5031,38.4,28.5031
train/ID2145635095.jpg,0.0,17.5621,22.7022,40.2643,22.7022
train/ID230058600.jpg,46.83,0.0,0.0,46.83,46.83
train/ID342818398.jpg,24.0237,3.1815,13.8948,41.1,37.9185
train/ID1051144034.jpg,55.32,0.0,0.0,55.32,55.32
train/ID2037861084.jpg,0.0,12.2169,28.6831,40.9,28.6831
train/ID1510574031.jpg,7.2336,14.4672,19.4992,41.2,26.7328
train/ID1988033238.jpg,4.8803,12.4718,21.1479,38.5,26.0282
train/ID1476045099.jpg,6.7778,3.3889,20.3333,30.5,27.1111
train/ID1868719645.jpg,4.8348,2.4174,20.5478,27.8,25.3826
train/ID657448172.jpg,1.6,2.9,0.2,4.7,1.8
train/ID846984946.jpg,8.4,8.0,0.6,17.0,9.0
train/ID1963715583.jpg,0.34,0.0,0.7,1.04,1.04
train/ID1395011773.jpg,10.0895,11.9667,13.8438,35.9,23.9333
train/ID828217731.jpg,0.7978,8.7753,4.7865,14.3596,5.5843
train/ID1703304524.jpg,2.5821,46.4778,47.7689,96.8288,50.351
train/ID1638922597.jpg,10.5353,21.3479,0.2772,32.1605,10.8126
train/ID1997244125.jpg,0.0,46.0672,4.1536,50.2208,4.1536
train/ID353424190.jpg,0.0,6.2143,22.7857,29.0,22.7857
train/ID1953218650.jpg,3.8,5.2,6.7,15.7,10.5
train/ID1058383417.jpg,0.1,9.5,13.1,22.7,13.2
train/ID475010202.jpg,36.76,0.0,0.0,36.76,36.76
train/ID498304885.jpg,0.0,7.4132,22.4868,29.9,22.4868
train/ID1136169672.jpg,0.0,6.808,16.3107,23.1187,16.3108
train/ID187238869.jpg,11.8881,2.972,28.9098,43.77,40.798
train/ID1119739385.jpg,0.0,3.0,6.8,9.8,6.8
train/ID2096636211.jpg,2.6,32.2,11.4,46.2,14.0
train/ID1403107574.jpg,22.69,0.0,0.0,22.69,22.69
train/ID443091455.jpg,22.2594,11.9858,26.2547,60.5,48.5142
train/ID710341728.jpg,0.0,7.9809,53.5191,61.5,53.5191
train/ID1113121340.jpg,0.2931,11.6271,82.6598,94.58,82.9529
